from	to	kind
src/main.js	src/style.css	static
src/main.js	src/App.vue	static
src/App.vue	src/views/01_Origin.vue	static
src/App.vue	src/views/02_Input.vue	static
src/views/02_Input.vue	src/components/ui/MagicDateInput.vue	static
src/views/02_Input.vue	src/core/SoulArchitect.js	static
src/core/SoulArchitect.js	src/engine/readingFacade.v1.js	static
src/engine/readingFacade.v1.js	src/core/psych/scorer.js	static
src/core/psych/scorer.js	src/core/ontology/patternToThemeMap.v1.js	static
src/core/psych/scorer.js	src/engine/canonicalizeUserChoices.v1.js	static
src/engine/readingFacade.v1.js	src/config/questionMode.v1.js	static
src/engine/readingFacade.v1.js	src/metaphysics/baziElements.v1.js	static
src/engine/readingFacade.v1.js	src/metaphysics/nameStudies.v1.js	static
src/metaphysics/nameStudies.v1.js	src/metaphysics/kangxiStrokes.v1.json	static
src/engine/readingFacade.v1.js	src/metaphysics/priorBlend.v1.js	static
src/engine/readingFacade.v1.js	src/engine/elementPrior.v1.js	static
src/core/SoulArchitect.js	src/core/psych/motherThemeMapper.js	static
src/core/psych/motherThemeMapper.js	src/core/psych/motherThemes.v1.json	static
src/core/SoulArchitect.js	src/core/guidance/buildGuidance.js	static
src/core/guidance/buildGuidance.js	src/core/guidance/interventions.json	static
src/core/guidance/buildGuidance.js	src/core/guidance/chains.json	static
src/core/guidance/buildGuidance.js	src/core/ontology/guidancePrinciples.v1.json	static
src/core/guidance/buildGuidance.js	src/core/ontology/motherThemes.v1.json	static
src/core/guidance/buildGuidance.js	src/core/ontology/guidanceActionTemplates.v1.json	static
src/core/guidance/buildGuidance.js	src/core/ontology/resultLexicon.v1.json	static
src/core/SoulArchitect.js	src/core/ai/promptBuilder.js	static
src/core/SoulArchitect.js	src/core/ai/localNarrative.js	static
src/core/SoulArchitect.js	src/core/ai/aiNarrative.js	static
src/core/ai/aiNarrative.js	src/core/ai/narrativeSchema.js	static
src/App.vue	src/views/03_Resonance.vue	static
src/views/03_Resonance.vue	src/core/domainScoring.js	static
src/views/03_Resonance.vue	src/core/choiceEngine.js	static
src/core/choiceEngine.js	src/core/ontology/round1Domains.v1.json	static
src/core/choiceEngine.js	src/core/ontology/round2FourSymbol.v1.json	static
src/core/choiceEngine.js	src/core/ontology/round3Ipsative.v2.json	static
src/core/choiceEngine.js	src/core/ontology/domainCanonicalMap.js	static
src/views/03_Resonance.vue	src/core/ontology/ontologyLoader.js	static
src/core/ontology/ontologyLoader.js	src/core/ontology/motherThemes.v1.json	static
src/core/ontology/ontologyLoader.js	src/core/ontology/behaviorFacetLexicon.v1.json	static
src/views/03_Resonance.vue	src/views/components/Round2FourSymbolPanel.v1.vue	static
src/views/components/Round2FourSymbolPanel.v1.vue	src/core/narrative/round2OracularText.v1.js	static
src/views/03_Resonance.vue	src/core/ontology/round2FourSymbol.v1.json	static
src/views/03_Resonance.vue	src/core/ontology/round3Ipsative.v2.json	static
src/views/03_Resonance.vue	src/core/ontology/round4IntensityTrigger.v1.json	static
src/views/03_Resonance.vue	src/core/ontology/domainCanonicalMap.js	static
src/views/03_Resonance.vue	src/core/ui/domainDisplayMap.ts	static
src/views/03_Resonance.vue	src/core/governanceDebugExpose.js	static
src/App.vue	src/views/04_Computation.vue	static
src/App.vue	src/views/05_Dashboard.vue	static
src/views/05_Dashboard.vue	src/components/ResetRitual.vue	static
src/views/05_Dashboard.vue	src/core/SoulArchitect.js	static
src/views/05_Dashboard.vue	src/core/telemetry/telemetryClient.js	static
src/views/05_Dashboard.vue	src/core/flow/readingNarrative.v1.js	static
src/core/flow/readingNarrative.v1.js	src/core/narrative/elementNarrative.v1.js	static
src/views/05_Dashboard.vue	src/core/flow/engagementTracker.v1.js	static
src/views/05_Dashboard.vue	src/core/ontology/round4Anchors.v1.json	static
src/App.vue	src/core/SoulArchitect.js	static
src/App.vue	src/ui/transitions/StageTransition.vue	static
src/ui/transitions/StageTransition.vue	src/ui/styleGuide.v1.json	static
src/ui/transitions/StageTransition.vue	src/ui/motionPolicy.js	static
src/ui/motionPolicy.js	src/ui/styleGuide.v1.json	static
src/App.vue	src/ui/motionPolicy.js	static
src/App.vue	src/core/telemetry/telemetryClient.js	static
src/App.vue	src/components/ReportIssueButton.vue	static
src/components/ReportIssueButton.vue	src/core/telemetry/telemetryClient.js	static
src/main.js	src/router	static
src/main.js	src/core/telemetry/telemetryClient.js	static
src/router/index.js	src/views/01_Origin.vue	static